id;title;path
D0648FFB;"8.3-2 公式法(2)";"/北京课改新版/七年级下/第8章 因式分解/8.3 公式法/8.3-2 公式法(2)"
D08496AB;"27.2.2 相似三角形的性质";"/人教新版/九年级下/第27章 相似/27.2 相似三角形/27.2.2 相似三角形的性质"
D0CDDCB7;"第6章 图形的相似";"/苏科新版/九年级下/第6章 图形的相似"
D0DEA40D;"4.2 直线、射线、线段";"/人教新版/七年级上/第4章 几何图形初步/4.2 直线、射线、线段"
D0E1A695;"12.1 全等三角形";"/人教新版/八年级上/第12章 全等三角形/12.1 全等三角形"
D0E517AB;"第16章 一元二次方程";"/北京课改新版/八年级下/第16章 一元二次方程"
D10169B1;"10.2-1 频数分布表";"/人教新版/七年级下/第10章 数据的收集、整理与描述/10.2 直方图/10.2-1 频数分布表"
D11ACDAC;"1.2 二次根式的性质";"/浙教新版/八年级下/第1章 二次根式/1.2 二次根式的性质"
D12C03EF;IM：七巧板;"/浙教新版/七年级上/第6章 图形的初步知识/6.8 余角和补角/IM：七巧板"
D131AC34;"8.3 实际问题与二元一次方程组";"/人教新版/七年级下/第8章 二元一次方程组/8.3 实际问题与二元一次方程组"
D1398741;"2.1 圆";"/苏科新版/九年级上/第2章 对称图形——圆/2.1 圆"
D13D6E51;"4.2 提公因式法";"/北师大版/八年级下/第4章 因式分解/4.2 提公因式法"
D1434D92;"1.7-2 多项式除以单项式";"/北师大版/七年级下/第1章 整式的乘除/1.7 整式的除法/1.7-2 多项式除以单项式"
D15CA08D;KH：等腰三角形的性质;"/浙教新版/八年级上/第2章 特殊三角形/2.3 等腰三角形的性质定理/KH：等腰三角形的性质"
D15E2E5B;"9.3-1 一元一次不等式的解法";"/人教新版/七年级下/第9章 不等式与不等式组/9.3 一元一次不等式组/9.3-1 一元一次不等式的解法"
D17E13B0;"22.4 梯形";"/沪教版/八年级下/第二十二章 四边形/第3节 梯形/22.4 梯形"
D1AC9B80;"9.1 字母表示数";"/沪教版/七年级上/第九章 整式/第1节 整式的概念/9.1 字母表示数"
D1D19CBE;"14.3 全等三角形的概念与性质";"/沪教版/七年级下/第十四章 三角形/第2节 全等三角形/14.3 全等三角形的概念与性质"
D1D4D6A6;"第三章 比和比例";"/沪教版/六年级上/第三章 比和比例"
D1E5D2E1;"3.2 图形的旋转";"/浙教新版/九年级上/第3章 圆的基本性质/3.2 图形的旋转"
D1F1C58F;"2.5-1 一元一次不等式与一次函数的关系";"/北师大版/八年级下/第2章 一元一次不等式与一元一次不等式组/2.5 一元一次不等式与一次函数/2.5-1 一元一次不等式与一次函数的关系"
D1F66645;"6.2-1 平行四边形的判定(1)";"/北师大版/八年级下/第6章 平行四边形/6.2 平行四边形的判定/6.2-1 平行四边形的判定(1)"
D2051611;"4.2-1 直线、射线、线段的认识";"/人教新版/七年级上/第4章 几何图形初步/4.2 直线、射线、线段/4.2-1 直线、射线、线段的认识"
D23C3252;"9.3-2 一元一次不等式的应用";"/人教新版/七年级下/第9章 不等式与不等式组/9.3 一元一次不等式组/9.3-2 一元一次不等式的应用"
D24DB91F;"4.3-1 画一次函数的图象";"/北师大版/八年级上/第4章 一次函数/4.3 一次函数的图象/4.3-1 画一次函数的图象"
D250B4E7;"13.4 平行线的判定";"/沪教版/七年级下/第十三章 相交线 平行线/第2节 平行线/13.4 平行线的判定"
D26F2948;"6.2-1 图象分布";"/北师大版/九年级上/第6章 反比例函数/6.2 反比例函数的图象与性质/6.2-1 图象分布"
D2958EFD;"1.3-5 探索三角形全等的条件";"/苏科新版/八年级上/第1章 全等三角形/1.3 探索三角形全等的条件/1.3-5 探索三角形全等的条件"
D2995B08;"3.1 字母表示数";"/苏科新版/七年级上/第3章 代数式/3.1 字母表示数"
D2B98FA8;"6.1 平行四边形的性质";"/北师大版/八年级下/第6章 平行四边形/6.1 平行四边形的性质"
D2D62DC9;"17.1-1 认识勾股定理";"/人教新版/八年级下/第17章 勾股定理/17.1 勾股定理/17.1-1 认识勾股定理"
D2D89A50;"4.4 平行四边形的判定定理";"/浙教新版/八年级下/第4章 平行四边形/4.4 平行四边形的判定定理"
D2E6DAA8;S9：相似三角形的判定与性质;"/浙教新版/九年级上/第4章 相似三角形/4.4 两个三角形相似的判定/S9：相似三角形的判定与性质"
D30F59DC;"第2章 相交线与平行线";"/北师大版/七年级下/第2章 相交线与平行线"
D32BD3B5;"15.1.1 从分数到分式";"/人教新版/八年级上/第15章 分式/15.1 分式/15.1.1 从分数到分式"
D344824A;"3.7-2 角的度量与角的换算(2)";"/北京课改新版/七年级上/第3章 简单的几何图形/3.7 角的度量与角的换算/3.7-2 角的度量与角的换算(2)"
D36A29B7;"第3节 直角三角形";"/沪教版/八年级上/第十九章 几何证明/第3节 直角三角形"
D3AA2BEA;K7：三角形内角和定理;"/浙教新版/八年级上/第1章 三角形的初步知识/1.1 认识三角形/K7：三角形内角和定理"
D3B285A4;"21.5 二元二次方程和方程组";"/沪教版/八年级下/第二十一章 代数方程/第4节 二元二次方程组/21.5 二元二次方程和方程组"
D3BE6ED5;"2.9 有理数的乘方";"/北师大版/七年级上/第2章 有理数及其运算/2.9 有理数的乘方"
D3D4EF13;"20.1.2 中位数和众数";"/人教新版/八年级下/第20章 数据的分析/20.1 数据的集中趋势/20.1.2 中位数和众数"
D411CA3A;"3.3 从不同的方向观察立体图形";"/北京课改新版/七年级上/第3章 简单的几何图形/3.3 从不同的方向观察立体图形"
D417D4EE;"2.6-3 列方程解应用问题(3)";"/北京课改新版/七年级上/第2章 一元一次方程/2.6 列方程解应用问题/2.6-3 列方程解应用问题(3)"
D41BE826;"24.2.2-3 三角形的内切圆和外接圆";"/人教新版/九年级上/第24章 圆/24.2 点和圆、直线和圆的位置关系/24.2.2 直线和圆的位置关系/24.2.2-3 三角形的内切圆和外接圆"
D43FE9FB;"20.1 数据的集中趋势";"/人教新版/八年级下/第20章 数据的分析/20.1 数据的集中趋势"
D45A22F6;"2.2-4 去括号";"/人教新版/七年级上/第2章 整式的加减/2.2 整式的加减/2.2-4 去括号"
D46BE70B;"25.1-2 求概率的方法(2)";"/北京课改新版/九年级下/第25章 概率的求法与应用/25.1 求概率的方法/25.1-2 求概率的方法(2)"
D47D16C6;9A：二元一次方程组的应用;"/浙教新版/七年级下/第2章 二元一次方程组/2.4 二元一次方程组的应用/9A：二元一次方程组的应用"
D47FDD94;"17.1-3 勾股定理在作图中的应用";"/人教新版/八年级下/第17章 勾股定理/17.1 勾股定理/17.1-3 勾股定理在作图中的应用"
D48C3327;"21.1 一元二次方程";"/人教新版/九年级上/第21章 一元二次方程/21.1 一元二次方程"
D4BFB2BA;"3.9 两条直线的位置关系";"/北京课改新版/七年级上/第3章 简单的几何图形/3.9 两条直线的位置关系"
D4E436FF;"11.3 不等式的性质";"/苏科新版/七年级下/第11章 一元一次不等式/11.3 不等式的性质"
D4F1B816;"22.3 实际问题与二次函数";"/人教新版/九年级上/第22章 二次函数/22.3 实际问题与二次函数"
D5058532;"1.4-2 单项式乘以多项式";"/北师大版/七年级下/第1章 整式的乘除/1.4 整式的乘法/1.4-2 单项式乘以多项式"
D50E5112;"11.6-2 一元一次不等式组";"/苏科新版/七年级下/第11章 一元一次不等式/11.6 一元一次不等式组/11.6-2 一元一次不等式组"
D55702B4;"2.5-2 一元一次方程(2)";"/北京课改新版/七年级上/第2章 一元一次方程/2.5 一元一次方程/2.5-2 一元一次方程(2)"
D55A629E;F9：一次函数图象与几何变换;"/浙教新版/八年级上/第5章 一次函数/5.4 一次函数的图象/F9：一次函数图象与几何变换"
D55DE9F8;"2.4 估算";"/北师大版/八年级上/第2章 实数/2.4 估算"
D562DB33;66：约分;"/浙教新版/七年级下/第5章 分式/5.3 分式的乘除/66：约分"
D583BB63;"1.2-2 一元二次方程的解法";"/苏科新版/九年级上/第1章 一元二次方程/1.2 一元二次方程的解法/1.2-2 一元二次方程的解法"
D5937B13;97：二元一次方程组的解;"/浙教新版/七年级下/第2章 二元一次方程组/2.2 二元一次方程组/97：二元一次方程组的解"
D59C1F59;"15.1 平面直角坐标系";"/沪教版/七年级下/第十五章 平面直角坐标系/第1节 平面直角坐标系/15.1 平面直角坐标系"
D5CEC699;"3.6 角及其分类";"/北京课改新版/七年级上/第3章 简单的几何图形/3.6 角及其分类"
D6052819;"第二十一章 代数方程";"/沪教版/八年级下/第二十一章 代数方程"
D605B58B;"14.2.1 平方差公式";"/人教新版/八年级上/第14章 整式的乘法与因式分解/14.2 乘法公式/14.2.1 平方差公式"
D60B4404;"18.1.2-2 平行四边形的性质（2）";"/人教新版/八年级下/第18章 平行四边形/18.1 平行四边形/18.1.1 平行四边形的性质/18.1.2-2 平行四边形的性质（2）"
D6154F93;"1.2.4-2 有理数的大小比较";"/人教新版/七年级上/第1章 有理数/1.2 有理数/1.2.4 绝对值/1.2.4-2 有理数的大小比较"
D62C4D35;"5.2-3 求解一元一次方程(3)";"/北师大版/七年级上/第5章 一元一次方程/5.2 求解一元一次方程/5.2-3 求解一元一次方程(3)"
D65558E3;"4.5 多边形和圆的初步认识";"/北师大版/七年级上/第4章 基本平面图形/4.5 多边形和圆的初步认识"
D6557862;"第3节 正多边形与圆";"/沪教版/九年级下/第二十七章 圆与正多边形/第3节 正多边形与圆"
D6764CC0;"8.1-2 中学生的视力情况调查";"/苏科新版/九年级下/第8章 统计和概率的简单应用/8.1 中学生的视力情况调查/8.1-2 中学生的视力情况调查"
D68A5E18;"4.7-2 相似三角形的性质(2)";"/北师大版/九年级上/第4章 图形的相似/4.7 相似三角形的性质/4.7-2 相似三角形的性质(2)"
D6E20D28;B5：分式方程的增根;"/浙教新版/七年级下/第5章 分式/5.5 分式方程/B5：分式方程的增根"
D6F3EB58;八年级上;/苏科新版/八年级上
D70EE882;"第1节 三角形的有关概念与性质";"/沪教版/七年级下/第十四章 三角形/第1节 三角形的有关概念与性质"
D7503D9A;"5.9 有理数的混合运算";"/沪教版/六年级下/第五章 有理数/第2节 有理数的运算/5.9 有理数的混合运算"
D76E7314;FH：一次函数的应用;"/浙教新版/八年级上/第5章 一次函数/5.5 一次函数的简单应用/FH：一次函数的应用"
D7A753C2;"第22章 圆（下）";"/北京课改新版/九年级上/第22章 圆（下）"
D7B30402;"3.3 用图象表示的变量间关系";"/北师大版/七年级下/第3章 变量之间的关系/3.3 用图象表示的变量间关系"
D7DFBB97;"4.1 线段、射线、直线";"/北师大版/七年级上/第4章 基本平面图形/4.1 线段、射线、直线"
D7EC6FA2;"4.3.3-2 方位角";"/人教新版/七年级上/第4章 几何图形初步/4.3 角/4.3.3 余角和补角/4.3.3-2 方位角"
D8155C50;"第5章 走进图形世界";"/苏科新版/七年级上/第5章 走进图形世界"
D83EE697;"第十二章 实数";"/沪教版/七年级下/第十二章 实数"
